"* Required Fields","* Обязательные поля"
"Create an Account","Создать учётную запись"
"Create customer","Создать пациента"
"Create customer address","Создать адрес пациента"
"Current Password","Текущий пароль"
"Customer","Пациент"
"Customer Addresses","Адреса пациента"
"Customer Api","API пациента"
"Customer Configuration","Конфигурация пациента"
"Customer Group","Группа пациента"
"Customer Group was successfully deleted","Группа пациента успешно удалена"
"Customer Group was successfully saved","Группа пациента успешно сохранена"
"Customer Groups","Группы пациентов"
"Customer Information","Информация о пациенте"
"Customer Login","Вход в систему"
"Customer Since","Пациент начиная с"
"Customer View","Общие сведения о пациенте"
"Customer collection expected","Пропущена коллекция для пациента"
"Customer doesn't have primary billing address","У пациента не указан основной адрес плательщика"
"Customer email already exists","Электронный адрес (email) пациента уже существует"
"Customer website id must be specified, when using website scope.","Если используется область действия сайт, то должен быть указан ИД пациента на сайте."
"Customers","Пациенты"
"Customers Only","Только для пациентов"
"Customers Section","Раздел пациентов"
"DD","День (DD)"
"Date","Дата"
"Date Added","Добавлен "
"Date of Birth","Дата рождения"
"Date Of Birth","Дата рождения"
"Date of Birth is required.","Дата рождения обязательна."
"Day","День"
"Days in Wishlist","Дней в листе пожеланий"
"Default Addresses","Адреса по умолчанию"
"Default Billing Address","Адрес плательщика по умолчанию"
"Default Email Domain","Домен письма по умолчанию"
"Default Group","Группа по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"Default Welcome Email","Письмо с приветствием по умолчанию"
"Delete","Удалить"
"Delete Address","Удалить адрес"
"Delete Customer","Удалить пациента"
"Delete Customer Group","Удалить группу пациента"
"Delete customer","Удалить пациента"
"Delete customer address","Удалить адрес пациента"
"Deleted Stores","Удалённые магазины"
"Details","Подробности"
"Disabled","Отключено"
"Edit","Редактировать"
"Edit Account Info","Редактировать учётную запись"
"Edit Account Information","Редактировать учётную запись"
"Edit Address","Редактировать адрес"
"Edit Address Entry","Редактировать запись адреса"
"Edit Customer Group ""%s""","Редактировать группу пациента ""%s"""
"Edit Customer Groups","Редактировать группы пациента"
"Edit Customer's Address","Редактировать адрес пациента"
"Edit Group","Изменить группу"
"Edit Newsletter Subscription","Изменить подписку на новости"
"Edit Newsletters","Изменить новостные письма"
"Edit Personal Information","Изменить личную информацию"
"Email","Электронная почта (email)"
"Email Address","Адрес электронной почты (email)"
"Email Sender","Отправитель письма (email)"
"Entity collection is expected","Ожидается набор сущностей"
"Error during retrieval of option value: %s","Ошибка при получении значения параметра: %s"
"Ext. Price","Расш. цена"
"Failed to confirm customer account.","Не удалось подтвердить учётную запись пациента."
"Fax","Факс"
"First Name","Имя"
"First name can't be empty","Имя не может быть пустым"
"Forgot Email Sender","Отправитель письма о забытом пароле"
"Forgot Email Template","Шаблон письма о забытом пароле"
"Forgot Your Password?","Забыли пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","С помощью панели управления у вас есть возможность просматривать краткий обзор активности учётной записи и обновлять информацию о ней. Выберите ссылку для просмотра или редактирования информации."
"General Subscription","Общая подписка"
"Gender","Пол"
"Gender is required.","Поле 'пол' обязательно к заполнению."
"Global","Глобально"
"Go to Address Book","Перейти в адресную книгу"
"Grand Total","Итого"
"Grand Total: %s","Итоговая сумма: %s"
"Group","Группа"
"Group ""%s"" can not be deleted","Группа ""%s"" не может быть удалена"
"Group Information","Информация о группе"
"Group Name","Название группы"
"Guest","Гость (незарегистрированный пользователь)"
"HTML","HTML"
"Hello, %s!","Здравствуйте, %s!"
"ID","ИД"
"IP Address","IP адрес"
"If you have an account with us, please log in.","Если у вас есть учётная запись на нашем сайте, пожалуйста, авторизируйтесь."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Указан неверный параметр для атрибута %s (%s), пропуск записи"
"Invalid attribute set specified, skipping the record","Указан неверный набор атрибутов, пропуск записи"
"Invalid current password","Неправильный текущий пароль"
"Invalid customer data","Неправильные данные пациента"
"Invalid email address","Неправильный адрес электронной почты (email)"
"Invalid email address ""%s""","Неправильный адрес электронной почты (email) ""%s"""
"Invalid login or password.","Неверный адрес электронной почты (email) или пароль."
"Invalid option id specified for %s (%s), skipping the record","Указан неверный идентификатора параметра %s (%s), пропуск записи"
"Invalid store specified, skipping the record","Указан неверный магазин, пропуск записи"
"Items Order","Заказ товаров"
"Last 5 Orders","Последние 5 заказов"
"Last Activity","Последняя активность"
"Last Name","Фамилия"
"Last Url","Последний URL"
"Last Viewed Items","Просмотренные товары"
"Last date subscribed","Последняя дата подписки"
"Last date unsubscribed","Последняя дата отмены подписки"
"Last name can't be empty","Фамилия не может быть пустой"
"Leave empty for default (15 minutes).","Оставьте пустым для значения по умолчанию (15 минут)."
"Leave empty for default (2). Valid range: 1-4","Оставьте пустым для значения по умолчанию (2). Диапазон возможных значений : 1-4"
"Lifetime Sales","Оборот за весь период"
"Log In","Войти"
"Log Out","Выйти"
"Log in or Create an Account","Войдите или создайте учётную запись"
"Login","Логин"
"Login Information","Информация для авторизации"
"Login and password are required","Необходимо указать адрес электронной почты (email) и пароль"
"Login or Create an Account","Страница авторизации"
"M.I.","M.I."
"MM","Месяц (MM)"
"Manage Addresses","Управление адресами"
"Manage Customers","Картотека"
"Missing email, skipping the record","Отсутствует email, пропуск записи"
"Missing firstname, skipping the record","Отсутствует имя, пропуск записи"
"Missing lastname, skipping the record","Отсутствует фамилия, пропуск записи"
"Month","Месяц"
"My Account","Моя учётная запись"
"My Account Dashboard","Панель управления «Моя учётная запись»"
"My Dashboard","Моя панель управления"
"My Orders","Мои заказы"
"My Reviews","Мои отзывы"
"My Tags","Мои метки"
"My Wishlist","Мой лист пожеланий"
"Name","Имя"
"Name and Address Options","Параметры для имени и адреса"
"Never","Никогда"
"New Address","Новый адрес"
"New Address Entry","Запись нового адреса"
"New Customer","Новый пациент"
"New Customer Address","Новый адрес пациента"
"New Customer Group","Новая группа пациента"
"New Customer Groups","Новые группы пациента"
"New Customers","Новые пациенты"
"New Group","Новая группа"
"New Password","Новый пароль"
"New account","Новая учётная запись"
"New account confirmation key","Код подтверждения новой учётной записи"
"New account confirmed","Новая учётная запись подтверждена"
"New password","Новый пароль"
"Newsletter","Информационный бюллетень"
"Newsletter Finish","Конец письма"
"Newsletter Information","Информация о письме"
"Newsletter Received","Письмо получено"
"Newsletter Start","Начало письма"
"Newsletter Subscription","Подписки на информационный бюллетень"
"Newsletters","Информационные бюллетени"
"No Items Found","Элементы не обнаружены"
"No Newsletter Found","Информационных бюллетеней нет"
"No item specified.","Не указан элемент."
"No product collections found","Не найдены наборы товаров"
"Not Sent","Не отправлено"
"Not confirmed, can login","Не подтверждён, можно входить в систему"
"Not confirmed, cannot login","Не подтверждён, нельзя входить в систему"
"Number of lines in a street address ","Число строк в адресе улицы "
"Offline","Не в сети"
"Online","В сети"
"Online Customers","Пациенты на сайте (в сети)"
"Online Customers Options","Параметры пациентов на сайте (в сети)"
"Online Minutes Interval","Интервал в минутах"
"Order #","Заказ #"
"Order #%s (%s)","Заказ # %s (%s)"
"Order List...","Список заказов..."
"Order Total","Итог заказа"
"Orders","Заказы"
"PDF","PDF"
"Password","Пароль"
"Password Management","Управление паролем"
"Password Options","Параметры пароля"
"Password can't be empty","Пароль не может быть пустым"
"Password fields can't be empty.","Поля для паролей не могут быть пустыми."
"Password forgotten","Забытый пароль"
"Password minimal length must be more %s","Пароль должен быть длиннее %s симв."
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Пароль должен состоять не менее чем из 6-ти символов. Пробелы перед и после символов будут проигнорированы."
"Paused","Приостановлено"
"Payment Method","Метод оплаты"
"Pending","В очереди"
"Per Website","Для сайта"
"Personal Information","Личная информация"
"Please enter your email below and we'll send you a new password.","Пожалуйста, введите ваш адрес электронной почты (email) для получения нового пароля."
"Please enter your email below and we'll send you confirmation link for it.","Пожалуйста, введите ваш адрес электронной почты (email) для получения кода подтверждения."
"Please enter your email.","Пожалуйста, введите ваш адрес электронной почты (email)."
"Please make sure your passwords match.","Пожалуйста, убедитесь, что пароли совпадают."
"Please select","Выберите"
"Please select region, state or province","Выберите область (штат, провинцию)"
"Please, check your e-mail for confirmation key.","Код подтверждения отослан. Проверьте вашу электронную почту (email)."
"Prefix","Префикс"
"Prefix dropdown options","Префикс (выпадающий список)"
"Price","Цена"
"Primary Billing Address","Основной адрес плательщика"
"Primary Shipping Address","Основной адрес доставки"
"Problem saving the collection, aborting. Error: %s","При сохранении коллекции произошла ошибка: %s"
"Product","Товар"
"Product ID","ИД товара"
"Product Name","Название товара"
"Product Reviews","Отзывы о товаре"
"Product Tags","Метки товара"
"Product name","Название товара"
"Purchase On","Куплен"
"Purchased at","Куплен на"
"Qty","Кол-во"
"Recent Orders","Последние заказы"
"Records for ""","Записи для """
"Refunded","Возвращено"
"Registered Customers","Зарегистрированные пациенты"
"Remove","Удалить"
"Require Emails Confirmation","Требуется подтверждение адреса электронной почты (email)"
"Retrieve address data","Получить данные адреса"
"Retrieve address info","Получить информацию об адресе"
"Retrieve customer addresses","Получить адреса пациента"
"Retrieve customer data","Получить данные пациента"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Получить пациентов"
"Retrieve customers info","Получить информацию о пользователе"
"Retrieve your confirmation link here","Получите ваш код подтверждения по электронной почте здесь"
"Retrieve your password here","Получите ваш пароль здесь"
"SKU","Артикул"
"Sales Statistics","Статистика продаж"
"Save","Сохранить"
"Save Address","Сохранить адрес"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Customer","Сохранить пациента"
"Save Customer Group","Сохранить группу пациента"
"Save Password","Сохранить пароль"
"Saved ","Сохранено "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Значения, разделённые точкой с запятой (;).<br/>Поместите точку с запятой в начале строки для пустого первого параметра.<br/>Оставить пустым для открытого текстового поля."
"Send Welcome Email after Confirmation","Отправить письмо (email) с приветствием после подтверждения"
"Send auto-generated password","Отправить автоматически сгенерированный пароль"
"Send confirmation link","Отправить ссылку подтверждения"
"Send welcome email","Отправить письмо (email) с приветствием"
"Sending","Отправляется"
"Sent","Отправлено"
"Session Start Time","Время начала сеанса"
"Set as Default Billing Address","Установить адресом плательщика по умолчанию"
"Set as Default Shipping Address","Установить адресом доставки по умолчанию"
"Share Customer Accounts","Уровень разделения учётных записей"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Доставлено на имя"
"Shipped to Last Name","Доставлено на фамилию"
"Shipped to Name","Отгружено на имя"
"Shipping Information","Информация о доставке"
"Shipping Method","Метод доставки"
"Shopping Cart","Корзина"
"Shopping Cart - %d item(s)","Корзина - %d шт."
"Show Tax/VAT number","Показывать номер плательщика НДС (ИНН)"
"Show date of birth","Показывать дату рождения"
"Show middle name (initial)","Показывать отчество"
"Show prefix","Показывать префикс (обращение)"
"Show suffix","Показывать суффикс"
"Sign Up for Newsletter","Подписаться на рассылку"
"Sign up for our newsletter","Подписаться на нашу рассылку"
"Skip import row, required field ""%s"" not defined","Пропуск строки, не определено обязательное поле ""%s"""
"Skip import row, website ""%s"" field not exists","Пропуск строки, не определено поле для сайта ""%s"""
"State/Province","Штат/Провинция"
"Status","Статус"
"Store","Магазин"
"Store View","Представление магазина"
"Street Address","Улица"
"Street Address ","Улица "
"Subject","Тема"
"Submit","Отправить"
"Subscribe","Подписаться"
"Subscribe to newsletter","Подписать на новости"
"Subscribed to Newsletter?","Уже подписаны на новости?"
"Suffix","Суффикс"
"Suffix dropdown options","Суффикс (выпадающий список)"
"TAX/VAT number is required.","Требуется номер плательщика НДС (ИНН)."
"Tag Name","Название метки"
"Tax Class","Класс налога"
"Tax class","Класс налога"
"Tax/VAT number","Номер плательщика НДС (ИНН)"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст в одну строку"
"Thank you for registering with %s","Благодарим за регистрацию на нашем сайте <span class=""hide"">%s</span>"
"The address does not belong to this customer","Адрес не принадлежит этому пациенту"
"The address was successfully deleted","Адрес успешно удалён"
"The address was successfully saved","Адрес успешно сохранён"
"The suffix that goes after name (Jr., Sr., etc.)","Суффикс используется после имени (Jr., Sr. и т.д.)"
"The title that goes before name (Mr., Mrs., etc.)","Обращение используемое до имени (Г-н, Г-жа и т.д.)"
"There are no items in customer's wishlist at the moment","В данный момент в листе пожеланий пациента нет товаров"
"There are no items in customer's shopping cart at the moment","В данный момент в корзине у пациента нет товаров"
"There was an error while deleting the address","Во время удаления адреса произошла ошибка"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Это письмо будет отправлено вместо письма с приветствием по умолчанию, после подтверждения учётной записи."
"This account is not confirmed.","Эта учётная запись не подтверждена."
"This customer has no saved addresses.","У этого пациента нет сохранённых адресов."
"This e-mail does not require confirmation.","Этот адрес электронной почты (email) не требует подтверждения."
"This email address was not found in our records","Данный адрес электронной почты (email) не найден в нашей базе данных"
"This is My Primary %s Address","Это мой основной %s адрес"
"To Cart","В корзину"
"Total","Сумма"
"Type","Тип"
"Unknown","Неизвестный"
"Unsubscribe from newsletter","Отписать от новостей"
"Update","Обновить"
"Update customer address data","Обновить адресные данные пациента"
"Update customer data","Обновить данные пациента"
"Use as My Primary %s Address","Использование в качестве моего основного %s адреса"
"Use as my default billing address","Использовать в качестве моего адреса плательщика по умолчанию"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"User description","Описание пользователя"
"View","Просмотреть"
"View Order","Просмотреть заказ"
"View Order List","Просмотреть список заказов"
"Visible In","Отображается в"
"Visitor","Посетитель"
"Visitors Only","Только для посетителей"
"Website","Сайт"
"Welcome Email","Приветственное письмо"
"Wishlist","Лист пожеланий"
"Wishlist - %d item(s)","Лист пожеланий -%d шт."
"Wrong confirmation key.","Неверный код подтверждения."
"Wrong customer account specified.","Указана неверная учётная запись пациента."
"Wrong email.","Указан неверный адрес электронной почты (email)."
"Wrong region id by selected country","Неверный идентификатор региона для выбранной страны"
"Wrong transactional account email type.","Неверный тип транзакционного письма учётной записи."
"XML","XML"
"YYYY","Год (YYYY)"
"Year","Год"
"You are currently not subscribed to any newsletter.","В настоящее время вы не подписаны на получение каких-либо новостей."
"You are currently not subscribed to our newsletter","В настоящее время вы не подписаны на нашу рассылку новостей"
"You are currently subscribed to 'General Subscription'.","В настоящее время вы подписаны на 'Общую подписку'."
"You are currently subscribed to our newsletter","В настоящее время вы подписаны на рассылку новостей"
"You are currently subscribed to our newsletter.","В настоящее время вы подписаны на рассылку новостей."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Вы успешно вышли из своей учётной записи и через 5 секунд будете перенаправлены на главную страницу сайта."
"You have no additional address entries in your address book.","В вашей адресной книге нет дополнительных адресов."
"You have no additional entries in your address book.","В вашей адресной книге нет дополнительных записей."
"You have no default billing address in your address book.","В вашей адресной книге не указан адрес плательщика, который будет использоваться по умолчанию."
"You have no default shipping address in your address book.","В вашей адресной книге не указан адрес доставки, который будет использоваться по умолчанию."
"You have no primary entries in your address book.","В вашей адресной книге нет основных записей."
"You have not set a primary billing address.","Вы не указали основной адрес плательщика."
"You have not set a primary shipping address.","Вы не указали основной адрес доставки."
"You have placed no orders yet.","Вы ещё не оформляли заказы на нашем сайте."
"You have placed no products yet.","Вы ещё не размещали товары на нашем сайте."
"You're now Logged Out","Вы успешно вышли из своей учётной записи"
"Your account balance is: %s","Баланс вашего счета: %s"
"ZIP","Почтовый индекс"
"ZIP/Post Code","Почтовый индекс"
"ZIP/Postal Code","Почтовый индекс"
"Zip/Postal Code","Почтовый индекс"
"n/a","н/д"
"or","или"
"Please enter your email below and we'll send you a new password.","Пожалуйста, введите ваш адрес электронной почты (email) для получения нового пароля."
"First name can't be empty","Имя не может быть пустым"
"Last name can't be empty","Фамилия не может быть пустой"
"Password can't be empty","Пароль не может быть пустым"
"My Account","Мой профайл"
"Middle Name/Initial","Отчество"
